Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Lab 00 – Local Setup and GitHub Workflow,Tools installed and verified,,false,Excellent,All three tools verified in terminal with correct versions,4,Proficient,Two of three verified,3,Developing,"One verified, others attempted",2,Incomplete,No verification shown,1
Lab 00 – Local Setup and GitHub Workflow,Repository setup,,false,Excellent,"Repo created in the course organization, invitation accepted, starter structure intact",4,Proficient,"Repo exists, some structure present",3,Developing,Repo exists but access/setup incomplete,2,Incomplete,No repo found,1
Lab 00 – Local Setup and GitHub Workflow,First commit and push,,false,Excellent,"Meaningful commit message, file visible on GitHub",4,Proficient,"File on GitHub, generic message",3,Developing,Pushed but incomplete,2,Incomplete,Not pushed,1
Lab 00 – Local Setup and GitHub Workflow,Smoke test,,false,Excellent,"All checklist items confirmed, including status and sync check",4,Proficient,Most items confirmed,3,Developing,Some items confirmed,2,Incomplete,Few or none confirmed,1
Lab 00 – Local Setup and GitHub Workflow,Reflection,,false,Excellent,"Specific, honest account of what worked and what broke",4,Proficient,Addresses the prompts briefly,3,Developing,Vague or one sentence,2,Incomplete,Missing,1
Lab 01 – Inspecting the Web,Elements analysis,,false,Excellent,Five elements per site with accurate semantic classification and purpose notes,4,Proficient,"Four elements, mostly accurate",3,Developing,"Two or three elements, classification inconsistent",2,Incomplete,One element or missing,1
Lab 01 – Inspecting the Web,Console expressions,,false,Excellent,"All three expressions run on both sites, results recorded and explained",4,Proficient,"Three expressions run, results recorded but not explained",3,Developing,One or two expressions recorded,2,Incomplete,No Console work,1
Lab 01 – Inspecting the Web,Network observation,,false,Excellent,First request details fully recorded for both sites; page weight noted,4,Proficient,One site's request recorded with some details,3,Developing,Partial network data,2,Incomplete,No network work,1
Lab 01 – Inspecting the Web,Own page inspection,,false,Excellent,"Error produced, message quoted and explained; textContent result correct",4,Proficient,"Error shown in screenshot, no explanation",3,Developing,Page opened in DevTools but no analysis,2,Incomplete,Not attempted,1
Lab 01 – Inspecting the Web,Reflection,,false,Excellent,Specific and honest; connects observation to chapter concepts,4,Proficient,Addresses prompts,3,Developing,Vague or generic,2,Incomplete,Missing,1
Lab 02 – Rebuilding a Responsive Layout,Semantic HTML,,false,Excellent,All sections use appropriate semantic elements; no <div> where a semantic element fits; labels connected to inputs,4,Proficient,Most sections semantic; one or two missed opportunities,3,Developing,Some semantic elements present; divs used for most structure,2,Incomplete,No semantic elements beyond default,1
Lab 02 – Rebuilding a Responsive Layout,Mobile-first CSS,,false,Excellent,Base styles target narrow viewport; min-width queries add layout; custom properties defined,4,Proficient,Base styles present; breakpoints work but not strictly mobile-first,3,Developing,CSS present but written desktop-first with overrides,2,Incomplete,Minimal or no CSS,1
Lab 02 – Rebuilding a Responsive Layout,Responsive behavior,,false,Excellent,"Layout adapts correctly at 375px, 600px, and 900px; tested in DevTools",4,Proficient,Adapts at two breakpoints,3,Developing,Partially responsive,2,Incomplete,Single fixed-width layout,1
Lab 02 – Rebuilding a Responsive Layout,Validation,,false,Excellent,Zero errors on validator.w3.org; screenshot provided,4,Proficient,1–2 minor errors,3,Developing,Several errors,2,Incomplete,Not validated,1
Lab 02 – Rebuilding a Responsive Layout,Keyboard accessibility,,false,Excellent,All interactive elements reachable and visually focused,4,Proficient,Most reachable,3,Developing,Some reachable,2,Incomplete,Not tested,1
Lab 02 – Rebuilding a Responsive Layout,Reflection,,false,Excellent,Specific answers to all three prompts,4,Proficient,Addresses two prompts,3,Developing,Vague or one prompt,2,Incomplete,Missing,1
Lab 03 – Console Exercises and Small Programs,Console experiments,,false,Excellent,"All expressions run, all results recorded, each explained in one sentence",4,Proficient,"All results recorded, no explanations",3,Developing,Results partially recorded,2,Incomplete,Missing,1
Lab 03 – Console Exercises and Small Programs,Exercise correctness,,false,Excellent,All four functions return correct output for all provided test cases including edge cases,4,Proficient,Three functions correct,3,Developing,Two functions correct,2,Incomplete,One or zero,1
Lab 03 – Console Exercises and Small Programs,Code quality,,false,Excellent,const used correctly; === used throughout; functions named clearly; no var,4,Proficient,Minor style issues,3,Developing,var used or == present,2,Incomplete,Significant issues,1
Lab 03 – Console Exercises and Small Programs,Debugging,,false,Excellent,All three bugs found and fixed; error message quoted and explained for each,4,Proficient,Two bugs fixed with explanation,3,Developing,One bug fixed,2,Incomplete,Not attempted,1
Lab 03 – Console Exercises and Small Programs,Reflection,,false,Excellent,Specific and honest; references actual results,4,Proficient,Addresses both prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 04 – Form Logic and Decision Trees,Trail recommender,,false,Excellent,Correctly filters by all three criteria; handles no-match case; validation catches all invalid inputs,4,Proficient,Filters by two criteria; some validation,3,Developing,"Basic filtering, no validation",2,Incomplete,Not functional,1
Lab 04 – Form Logic and Decision Trees,Distance table,,false,Excellent,Table renders correctly for valid inputs; guard clauses catch both invalid conditions,4,Proficient,Table renders; one guard clause missing,3,Developing,Table renders but no validation,2,Incomplete,Not functional,1
Lab 04 – Form Logic and Decision Trees,Function separation,,false,Excellent,"Logic, rendering, and validation in separate named functions; no anonymous handlers",4,Proficient,Some separation,3,Developing,All logic in one handler,2,Incomplete,No named functions,1
Lab 04 – Form Logic and Decision Trees,DOM safety,,false,Excellent,createElement and textContent used throughout; no innerHTML,4,Proficient,Mostly safe; one innerHTML for static content,3,Developing,innerHTML used for dynamic content,2,Incomplete,Significant innerHTML misuse,1
Lab 04 – Form Logic and Decision Trees,Reflection,,false,Excellent,Specific; addresses all three prompts,4,Proficient,Addresses two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 05 – Build a Product Data Explorer,Data functions,,false,Excellent,All four functions correct and pure; source array never mutated,4,Proficient,Three functions correct,3,Developing,Two correct,2,Incomplete,One or zero,1
Lab 05 – Build a Product Data Explorer,Rendering functions,,false,Excellent,Cards render all fields correctly; empty state handled; no innerHTML,4,Proficient,Cards render; one field missing or innerHTML used,3,Developing,Cards render but incomplete,2,Incomplete,Not functional,1
Lab 05 – Build a Product Data Explorer,Filter and sort,,false,Excellent,Both controls work independently and together; active filter persists across sort changes,4,Proficient,Both controls work separately,3,Developing,One control works,2,Incomplete,Neither works,1
Lab 05 – Build a Product Data Explorer,CSS layout,,false,Excellent,Responsive grid; out-of-stock styling distinct; disabled button styled,4,Proficient,Responsive grid; no out-of-stock styling,3,Developing,Single-column layout,2,Incomplete,No meaningful CSS,1
Lab 05 – Build a Product Data Explorer,Reflection,,false,Excellent,Specific; addresses all three prompts,4,Proficient,Two prompts addressed,3,Developing,Vague,2,Incomplete,Missing,1
Lab 06 – Interactive FAQ and Tabs,Accordion behavior,,false,Excellent,Open/close works; only one panel open at a time; aria-expanded accurate,4,Proficient,Open/close works; multiple panels can open simultaneously,3,Developing,Open works; close doesn't,2,Incomplete,Not functional,1
Lab 06 – Interactive FAQ and Tabs,Tab behavior,,false,Excellent,Tabs switch panels correctly; all three panels reachable; aria-selected accurate,4,Proficient,Tabs switch; ARIA not updated,3,Developing,Partially working,2,Incomplete,Not functional,1
Lab 06 – Interactive FAQ and Tabs,ARIA attributes,,false,Excellent,"aria-expanded, aria-controls, aria-selected, role=""tab"", role=""tabpanel"" all present and accurate, and tabindex reflects the selected tab",4,Proficient,Most ARIA present,3,Developing,Some ARIA present,2,Incomplete,No ARIA,1
Lab 06 – Interactive FAQ and Tabs,Event delegation,,false,Excellent,One listener per component on a parent; event.target.matches() or .closest() used,4,Proficient,Two listeners per component,3,Developing,Individual listeners on each button,2,Incomplete,No event delegation,1
Lab 06 – Interactive FAQ and Tabs,Keyboard accessibility,,false,Excellent,Accordion headers reachable by Tab and activatable by Enter/Space; tablist uses roving tabindex with working Left/Right (and Home/End) arrow navigation,4,Proficient,"Both components keyboard-operable; arrow navigation present but incomplete (no wrap, or no Home/End)",3,Developing,"Everything reachable by Tab, but the tablist has no arrow-key navigation",2,Incomplete,Not tested,1
Lab 06 – Interactive FAQ and Tabs,Reflection,,false,Excellent,Specific; addresses all three prompts,4,Proficient,Two prompts addressed,3,Developing,Vague,2,Incomplete,Missing,1
Lab 07 – Accessible Form Validation,Validation logic,,false,Excellent,"All five validators correct including edge cases (optional phone, student ID format)",4,Proficient,Four validators correct,3,Developing,Two or three correct,2,Incomplete,One or zero,1
Lab 07 – Accessible Form Validation,Error display,,false,Excellent,Errors shown with correct text; aria-invalid set; cleared when fixed,4,Proficient,Errors shown; ARIA not updated,3,Developing,Errors shown but not cleared,2,Incomplete,No error display,1
Lab 07 – Accessible Form Validation,Validation timing,,false,Excellent,Blur validation on name/email; full validation on submit; first invalid field focused,4,Proficient,Submit validation only,3,Developing,Partial submit validation,2,Incomplete,No event handling,1
Lab 07 – Accessible Form Validation,Confirmation flow,,false,Excellent,Form hidden; confirmation shown with correct summary; focus moved to confirmation,4,Proficient,Confirmation shown; no focus management,3,Developing,Some success handling,2,Incomplete,No confirmation,1
Lab 07 – Accessible Form Validation,Accessibility,,false,Excellent,"aria-describedby, aria-live, aria-invalid; keyboard navigable; color not only error indicator",4,Proficient,Most ARIA present; keyboard works,3,Developing,Some ARIA,2,Incomplete,No ARIA,1
Lab 07 – Accessible Form Validation,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 08 – Build an API-Powered Viewer,Fetch and error handling,,false,Excellent,"response.ok checked; try/catch/finally used; all three states (loading, success, error) handled",4,Proficient,Two states handled; response.ok checked,3,Developing,One state handled,2,Incomplete,No error handling,1
Lab 08 – Build an API-Powered Viewer,Data normalization,,false,Excellent,normalizeBooks protects against missing fields; all three properties normalized,4,Proficient,Two properties normalized,3,Developing,One property normalized,2,Incomplete,No normalization,1
Lab 08 – Build an API-Powered Viewer,Rendering,,false,Excellent,Cards render all three fields; empty state shown; createElement used; no innerHTML,4,Proficient,Cards render; one issue,3,Developing,Partial render,2,Incomplete,Not functional,1
Lab 08 – Build an API-Powered Viewer,Accessible async,,false,Excellent,aria-live on results region; loading and error messages text-based and readable,4,Proficient,aria-live present,3,Developing,Partially accessible,2,Incomplete,No accessible state management,1
Lab 08 – Build an API-Powered Viewer,CSS,,false,Excellent,Responsive grid; three status states visually distinct,4,Proficient,Responsive; two states distinct,3,Developing,Single column; minimal distinction,2,Incomplete,No meaningful CSS,1
Lab 08 – Build an API-Powered Viewer,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 09 – Preference Panels and Saved UI Settings,localStorage read/write,,false,Excellent,setItem/getItem with JSON.stringify/JSON.parse; null handled; try/catch on both read (parse) and write (quota exceeded); storage warning shown,4,Proficient,Read/write works; one edge case (null or quota) not handled,3,Developing,Write works; read partially works,2,Incomplete,Not functional,1
Lab 09 – Preference Panels and Saved UI Settings,Preference application,,false,Excellent,Classes swapped correctly for all three categories; no inline styles,4,Proficient,Two categories work,3,Developing,One category works,2,Incomplete,Not functional,1
Lab 09 – Preference Panels and Saved UI Settings,Page load behavior,,false,Excellent,Preferences applied in DOMContentLoaded before render; no visible flash,4,Proficient,Applied at load but with minor flash,3,Developing,Applied after a delay,2,Incomplete,Not applied at load,1
Lab 09 – Preference Panels and Saved UI Settings,Reset,,false,Excellent,"Resets all three preferences in storage, DOM, and radio buttons",4,Proficient,Resets two of three,3,Developing,Partially resets,2,Incomplete,Not implemented,1
Lab 09 – Preference Panels and Saved UI Settings,DevTools verification,,false,Excellent,All five DevTools checks completed and documented in notes,4,Proficient,Three checks documented,3,Developing,One check documented,2,Incomplete,Not documented,1
Lab 09 – Preference Panels and Saved UI Settings,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 10 – Convert a Script Bundle into Modules,Module structure,,false,Excellent,All five files present with correct responsibilities; one-sentence comments in each,4,Proficient,Four files; mostly correct,3,Developing,Three files; some responsibilities mixed,2,Incomplete,Single file,1
Lab 10 – Convert a Script Bundle into Modules,Import/export,,false,Excellent,Named exports on all public functions; no global variables; imports use correct relative paths,4,Proficient,Exports present; one global remains,3,Developing,Partial imports/exports,2,Incomplete,No module syntax,1
Lab 10 – Convert a Script Bundle into Modules,Functionality,,false,Excellent,App works identically to the bundle; filter works for all categories,4,Proficient,App works; one filter issue,3,Developing,App partially works,2,Incomplete,App broken,1
Lab 10 – Convert a Script Bundle into Modules,Build,,false,Excellent,npm run build completes; dist/ excluded from git,4,Proficient,Build completes; dist committed,3,Developing,Build attempted,2,Incomplete,Not built,1
Lab 10 – Convert a Script Bundle into Modules,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 11 – Vue UI Card System,MemberCard component,,false,Excellent,All four props typed with defineProps; all fields rendered; disabled button; status class,4,Proficient,Three props; most fields rendered,3,Developing,Two props; some rendering,2,Incomplete,Not componentized,1
Lab 11 – Vue UI Card System,Reactivity,,false,Excellent,computed for filtering; both filter controls update the DOM automatically,4,Proficient,Computed used; one filter works,3,Developing,One filter works with direct logic,2,Incomplete,Manual DOM updates,1
Lab 11 – Vue UI Card System,v-for and :key,,false,Excellent,Both v-for loops have correct :key values,4,Proficient,One loop missing :key,3,Developing,:key absent,2,Incomplete,No v-for,1
Lab 11 – Vue UI Card System,v-if / empty state,,false,Excellent,"v-if on grid, v-else empty state, both work correctly",4,Proficient,v-if works; no empty state,3,Developing,Partial conditional,2,Incomplete,No conditional rendering,1
Lab 11 – Vue UI Card System,Accessibility,,false,Excellent,aria-live on count; aria-pressed on filter buttons; aria-disabled on card button,4,Proficient,Two of three ARIA attributes,3,Developing,One,2,Incomplete,None,1
Lab 11 – Vue UI Card System,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Lab 12 – Small Data Dashboard,Computed filtering,,false,Excellent,All four filters work via computed; no manual DOM updates; all filters combine correctly,4,Proficient,Three filters in computed,3,Developing,Two filters; one manual DOM update,2,Incomplete,No computed filtering,1
Lab 12 – Small Data Dashboard,Summary panel,,false,Excellent,All five stats correct; derived from filtered data; updates with each filter change,4,Proficient,Four stats correct; one not filtered,3,Developing,Stats present but use full dataset,2,Incomplete,No summary,1
Lab 12 – Small Data Dashboard,Component structure,,false,Excellent,Two child components with correct defineProps; data flows parent → child via props and child → parent via defineEmits; no child mutates a prop,4,Proficient,Two components with props and emits; a prop type or emit declaration missing,3,Developing,"One component extracted, or the child resets filter state directly instead of emitting",2,Incomplete,Everything in App.vue,1
Lab 12 – Small Data Dashboard,Accessibility,,false,Excellent,aria-live on summary; table uses scope; empty state present,4,Proficient,Two of three,3,Developing,One,2,Incomplete,None,1
Lab 12 – Small Data Dashboard,Edge cases,,false,Excellent,"Empty filter result shows message; summary shows ""N/A"" when count is 0",4,Proficient,Empty state only,3,Developing,Edge cases attempted but broken or inconsistent,2,Incomplete,No edge case handling,1
Lab 12 – Small Data Dashboard,Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
"Lab 13 – Lighthouse, Accessibility, and Deployment",Baseline audit,,false,Excellent,Lighthouse run on deployed site; all four scores documented; screenshot provided,4,Proficient,Three scores documented; screenshot present,3,Developing,Scores documented; no screenshot,2,Incomplete,No audit,1
