vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
web1430-outcomes,group,WEB 1430: Client-Side Web Development,Course learning outcomes for WEB 1430 Client-Side Web Development at Weber State University.,,,,active,,,,,,,,,,
web1430-lo-01,outcome,Responsive Semantic Pages,"Build responsive, standards-based pages with semantic HTML5 and modern CSS.",Responsive Semantic Pages,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-02,outcome,Readable JavaScript,"Write readable JavaScript that uses variables, control flow, functions, arrays, objects, and modules.",Readable JavaScript,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-03,outcome,DevTools & Debugging,"Use browser developer tools to inspect, debug, and improve client-side code.",DevTools & Debugging,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-04,outcome,DOM Interaction,Manipulate the DOM to create interactive interfaces that respond to user events.,DOM Interaction,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-05,outcome,Accessible Forms,Design and validate accessible forms that provide clear feedback and error recovery.,Accessible Forms,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-06,outcome,APIs & Remote Data,Exchange data with external services using JSON and the Fetch API.,APIs & Remote Data,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-07,outcome,Client-Side State,Persist client-side state with local storage and session storage when appropriate.,Client-Side State,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-08,outcome,Component Thinking,Apply introductory component-based thinking with a modern JavaScript framework.,Component Thinking,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-09,outcome,Git & GitHub Workflow,"Collaborate with Git and GitHub using a documented, reproducible workflow.",Git & GitHub Workflow,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
web1430-lo-10,outcome,Project Delivery,"Plan, build, test, and present a polished client-side web project.",Project Delivery,highest,,active,web1430-outcomes,3,4,Excellent,3,Proficient,2,Developing,1,Incomplete
